Phone Brand,Phone specification,Old Price,New Price,Rating
Nokia,"C1 5.45-Inch Screen, Android 9 Pie, 1GB RAM + 16GB ROM, 5MP + 5MP Camera, 2500mAh Battery Dual SIM Smartphone - Charcoal",34950,31990,4.5
Nokia,"3.4 6.39"" HD+ Screen, 4GB RAM + 64GB ROM, 13MP+2MP Rear + 5MP Selfie, 4000mAh, 4G LTE, Android 10, Dual SIM - Charcoal",80000,64990,4.0
Tecno,"Spark 7 (PR651H) 6.5"" HD+, 32GB ROM + 2GB RAM, 500mAh, 16MP + 8MP CAMERA, Android 11, 4G, Fingerprint -MAGNET Black",60000,52999,
Itel,"P36 PRO LTE 6.5"" HD+, 2GB RAM + 32GB ROM, 5000mAh, 13MP AI Dual Camera, Android 9, 4G LTE, Fingerprint + Face ID -Purple",50000,45990,4.0
Infinix,"Smart HD 2021 (X612) 6.1"" HD+, 2GB RAM + 32GB ROM, 5000mAh, Android 10, 8MP Selfie + 8MP Camera + Free Headset",50000,44899,5.0
Itel,"A16plus - 5.0""Screen 8GB ROM-1GB RAM, Android 8.1(GO Edition) 2050mAh 5.0MP AF Camera - Phantom Black",25000,21999,4.3
QUBO,"BIG1-6.26"" Screen,4500mAh Battery,16GB ROM,8MP Main Camera,Android 10,Fingerprint Unlock ,3G Android Smartphone",29990,21990,
Tecno,"Camon 17 (CG6) 6.6"" 90Hz HD+, 4GB RAM + 128GB ROM, 48MP Triple Rear + 8MP Selfie Camera, Android 11, 5000mAh, - Deep Sea",85000,77800,4.0
Tecno,"POP 5 (BD2P) -6.1"" HD+ Display-2GB RAM/32GB ROM, 5000mAh, Android 10, 5MP/5MP Camera, Fingerprint & Face ID - ICE Blue",43000,41100,
Tecno,"POP 3 (BB2) 5.7"" Screen, 16GB ROM + 1GB RAM, Android 8.1 Oreo, 8MP + 5MP Camera, 3500mAh, Fingerprint & Face ID - Black",35000,31990,4.3
Oppo,"A54, Crystal Black, 6.51"", 4GB RAM 128GB ROM, 16MP Selfie Camera  13MP+2MP+2MP Rear Camera, 5000mAh",99900,89900,3.0
Infinix,"S5 Pro - 6.53"" FHD+ (6GB RAM, 128GB ROM) Android 10 - 48MP/2MP/QVGA + 40MP Selfie - 4000mAh - 4G LTE - Forest Green",100000,87000,5.0
Itel,"A14plus, Android 10  (GO Edition) , 4"" Screen - 2.0MP Rear+0.3MP Front Camera , 512MB RAM +16GB ROM, 2500mAh - Deep Blue",21000,19599,3.0
Samsung,Galaxy S9 5.8'' Inch QHD  2 Sim (duel Sim)( 4GB + 64GB ROM ) 12MP+8MP _ Midnight Black,130000,120000,
Samsung,"Galaxy S7 Edge 5.5"" (4GB, 32GB ROM) 12MP + 5MP Dual Sim - Midnight Black +Free Pouch",150000,85000,
Generic,3120 Compact Portable Photography Camera Tripod Stand With Holder Control,15100,6799,
Tecno,"Pova, (LD7) 6.8"" Dot In Display, 128GB Rom +6GB Ram, 6000mAh Battery, 13MP+8MP, Android 10 -Magic Blue",90000,84500,4.9
Gionee,M7 Power 6 Inch 4GB RAM 64GB ROM 13MP+8MP Hybrid Dual SIM Android 7.1 4G LTE Smartphone 5000mAh-Gold,55000,47180,4.3
Itel,"P36, Android Pie(Go Edition), ,6.5HD Waterdrop, 8.0MP+8.0MP Al Dual Rear,16GB+1GB, 5000mAh GRADATION BLUE",48000,36700,4.0
Tecno,"Spark 5 Air (KD6) 7"" HD+, 2GB RAM + 32GB ROM, 13MP + 8MP AI Camera, Android Q, 5000mAh, Fingerprint, Face ID, 4G - Blue",64990,53990,4.6
Itel,"A16 Plus 5.0"" Screen Android 8.1 Go Edition, 1GB RAM + 8GB ROM, 5MP+2MP, 2050mAh Dual SIM 3G - Black With Free Case",23490,21790,4.5
Generic,3110 Compact Portable Photography Camera Tripod Stand With Holder Control,10600,5899,4.0
XIAOMI,"Redmi 9c 3gb Ram, 64gb Storage - Grey                       .",,55000,5.0
Samsung,"Galaxy A32 (128GB, 6GB RAM) 6.4"" FHD + 4 Rear Camera (48+8+5+2)MP,+ 20MP, 5000mAh, Dual SIM LTE - Awesome Violent",145000,121800,
Tecno,"Camon 17P (CG7) 6.8"" FHD+, 6GB RAM + 128GB ROM, 64MP Quad Rear + 16MP Selfie - 5000mAh, Android 11, 4G -Frost  Silver",102000,98500,
